Sentence,"Niveau 1 : 
Intention général ?","Niveau 2 : 
Quel objet médical ?","Niveau 3 : 
Présence de sentiment ?","Niveau 3 : 
Polarité ?",,
S'habituer à l'appareillage est souvent une phase délicate pour les patients dans votre situation.,partage_experience,diagnostique,non,,,
"La plupart y arrivent cependant, après quelques essais, en changeant parfois le type de masque.",partage_experience,diagnostique,non,,,
"Il faut un peu de persévérance, courage.",partage_experience,traitement,oui,positif,,
J'ai la même sensation.,partage_experience,symptome,non,,,
"Je ne peux plus expirer, j'ai trop d'air.",partage_experience,symptome,non,,,
"Je n'ai que la solution d'expirer par la bouche, je sais qu'il faut respirer la bouche fermée mais j'étouffe.",partage_experience,symptome,oui,negatif,,
Alors je l'enlève et je recommence la nuit suivante en espérant que ça ira mieux.,partage_experience,symptome,non,,,
Est-ce que ça provient d'un réglage à faire ?,recherche_information,traitement,non,,,
Ou alors faut-il simplement s'habituer à la machine ?,recherche_information,traitement,non,,,
"Bonjour,",fonction_phatique,,non,,,
"Cela fait plusieurs années que j'ai cet appareil et je n'avais aucun problème, celui-ci est survenu il y a 5 mois et je ne comprends toujours pas.",partage_experience,symptome,non,,,
"Bonjour,",fonction_phatique,,non,,,
"Il faudrait que tu vois avec ton pneumologue et que tu les expliques cette sensation désagréable, ensuite il demandera sans doute au technicien de venir modifier la pression de l'air.",partage_experience,diagnostique,non,,,
"c'est déjà fait, j'ai revu mon pneumologue et il ne comprends, il m'a fait des examens et ne trouve rien d’anormal, nous avons changé la pression avec le technicien et toujours le même problème.",partage_experience,symptome,non,,,
Peut être que c'est psychologique.,recherche_information,diagnostique,non,,,
J'en ai parlé aussi au psychiatre et il ne comprends non plus.,partage_experience,traitement,non,,,
"Bonjour, nouvelle sur ce forum j'espère pouvoir vous apporter quelques réponses.",partage_experience,diagnostique,oui,positif,,
Mon époux est appareillé d'un masque depuis 7 mois.,partage_experience,traitement,non,,,
"Il faisait des apnées très longues, son sommeil était très perturbé.",partage_experience,symptome,non,,,
"Il s'endormait partout, au travail, et aussi une fois au volant de sa voiture.",partage_experience,symptome,non,,,
Moi je ne dormais plus et je comptait les secondes ou il ne respirait plus.,partage_experience,symptome,oui,negatif,,
"Avec l’appareil, il dort mieux, ne ronfle plus et son sommeil est réparateur.",partage_experience,traitement,non,,,
Il est néanmoins devenu très sensible aux rhinites.,partage_experience,symptome,non,,,
"Comme c'est une contrainte relativement importante, il a bien pesez le pour et le contre.",partage_experience,symptome,non,,,
"Il existe plusieurs masques, il faut simplement trouver celui qui vous convient le mieux.",partage_experience,traitement,non,,,
"Suivi en neurophysiologie, actuellement il ne fait plus d'apnée.",partage_experience,traitement,non,,,
Bien cordialement,fonction_phatique,,non,,,
"Maintenant j'ai la bouche sèche, ce qui me réveille aussi.",partage_experience,symptome,non,,,
J'ai un humidificateur il va falloir que je m'en serve.,partage_experience,traitement,non,,,
Mais j'ai vraiment du mal à m'habituer à l'appareil ce qui me vaut plusieurs réveils dans la nuit.,partage_experience,traitement,oui,negatif,,
"Le technicien doit passer prochainement, peut-être y a t-il des réglages à effectuer, ça ne fait pas longtemps que je suis appareillée.",partage_experience,traitement,non,,,
Je dors en moyenne cinq heures par nuit avec l'appareil.,partage_experience,symptome,non,,,
Et je ne me sens pas plus reposée.,partage_experience,symptome,oui,negatif,,
Bien sûr qu'il faut utiliser l'humidificateur....,partage_experience,traitement,non,,,
"comme ça on a la gorge moins sèche, malheureusement, en tout cas en ce qui me concerne, celà ne règle pas complètement cette sensation.",partage_experience,symptome,non,,,
En me réveillant je bois un verre d'eau et suce une pastille Vichy et c fini !,partage_experience,traitement,non,,,
"Cela va nettement mieux avec l'humidificateur, je n'ai plus la bouche sèche .",partage_experience,traitement,oui,positif,,
"Cette nuit j'ai bien dormi bien qu'elle fût quand même courte, cinq heures quarante cinq de sommeil.",partage_experience,symptome,oui,negatif,,
Le technicien est passé et m'a réajusté le masque ce qui peut expliquer ma bonne nuit.,partage_experience,traitement,non,,,
Il m'a conseillée de dormir sur le côté et non sur le dos parce que je fais encore des apnées importantes.,partage_experience,traitement,non,,,
Ce qui compte c'est que je me sente bien le matin.,partage_experience,symptome,oui,positif,,
Je retire mon masque pendant la nuit je le fais inconsciemment et le souci c'est que je me réveille sans masque sur le nez.,partage_experience,traitement,non,,,
"Lors de mon test de sommeil l'an passé, je faisais des apnées si sévères que mon pneumologue a arrêté de les compter.",partage_experience,symptome,non,,,
"Et comme je retire mon masque pendant que je dors, le lendemain, je suis crevée mais à un point !",partage_experience,symptome,oui,negatif,,
Que j'aurais tendance à dormir toute la journée.,partage_experience,symptome,non,,,
Je le fais déjà le week-end.,partage_experience,symptome,non,,,
C'est horrible de penser à quel moment je retire le masque.,partage_experience,symptome,oui,negatif,,
Une heure après l'endormissent ?,recherche_information,symptome,non,,,
Moins dune heure ?,recherche_information,symptome,non,,,
Comment savoir ?,recherche_information,symptome,non,,,
"Pourtant, il m'est arrivé de dormir 4 heures d'affilée avec le masque et de me réveiller en pleine forme !",partage_experience,symptome,oui,positif,,
Sans le besoin de faire de sieste pendant la journée.,partage_experience,symptome,non,,,
"Du coup, aujourd'hui, je me suis forcée à régler correctement le masque avec la bande velcro au dessus de la tête.",partage_experience,traitement,non,,,
"J'ai changé le filtre de la machine (il était noir, c'est dingue !) et même tout changé avec un masque neuf parce que le petit filtre sous le masque était noir aussi.",partage_experience,traitement,non,,,
je vais voir comment se passe ma nuit à venir...,partage_experience,symptome,non,,,
"Si vous vous sentez concerné(e)s par ce problème, n'hésitez pas à réagir.",recherche_information,symptome,non,,,
J'avoue que ce masque est une muselière pour animal bien dressé.,partage_experience,traitement,oui,negatif,,
Du coups vois si tu ne peux pas te procurer une autre attache de masque ?,recherche_information,traitement,non,,,
Il y a des différents ceux qui sont bien élastique te permettent de bien les enfilés sans même détacher (non recommandé le technicien voudrait que tu prennes en main a chaque réveil de détacher complètement le masque pour ne pas agrandir ou modifier le matériel et ses parties souples).,partage_experience,traitement,non,,,
"En ce moment j'aime bien mon masque actuel et j'en ai essayé pleins, il a des aimants en attache et c'est un ""bucco-nasale"" .",partage_experience,traitement,non,,,
"Mais j'ai préféré l'attache d'un ancien 100% nasale que j'avais mis sa sangle sur un autre, d'ailleurs le technicien n'avait pas compris pourquoi la sangle ne correspondait pas à celle d'origine.",partage_experience,traitement,non,,,
Mais ça tenait mieux sur mon nez sans faire de trace.,partage_experience,traitement,non,,,
Car plus d'une fois je me suis réveillé comme si le caoutchou avait brulé mon nez avec le tout premier masque.,partage_experience,symptome,non,,,
Wow.,fonction_phatique,,oui,positif,,
"C'est dingue Jean, tout ce que tu as dû faire pour que tu trouves le bon matos.",partage_experience,traitement,non,,,
"Et surtout, quel bricolage !",partage_experience,traitement,oui,positif,,
lol:{},fonction_phatique,,oui,positif,,
"Bon, pour ma part, j'ai trouvé une solution.",partage_experience,diagnostique,non,,,
Je scotche mon masque.,partage_experience,traitement,non,,,
"Aussi, je débranchais surtout le tuyau à la machine.",partage_experience,traitement,non,,,
"Aussi, j'ai décidé de le scotcher également.",partage_experience,traitement,non,,,
"Là aussi, c'et du système D.",partage_experience,traitement,non,positif,,
Bonsoir :),fonction_phatique,,non,,,
Je viens de voir votre message par hasard.,fonction_phatique,,non,,,
Vous utilisez quel type de masque ?,recherche_information,traitement,non,,,
J'ai le même soucis depuis un moment.,partage_experience,symptome,non,,,
J'ai été plusieurs fois appareillé sans succès.,partage_experience,traitement,non,,,
"Je commence à arriver à le garder un peu plus grâce à un oreiller mémoire de forme spécial apnée du sommeil, mais je l'enlève je ne sais comment en milieu de nuit.",partage_experience,traitement,non,,,
Avez-vous trouvé la cause du retrait du masque dans la nuit ?,recherche_information,traitement,non,,,
Pour information je suis plus appareillé pour insuffisance respiratoire chronique (les échanges au niveau respiratoire ne se font pas très bien pendant la nuit et mon taux de CO2 augmente).,partage_experience,symptome,non,,,
Au plaisir de vous lire.,fonction_phatique,,oui,positif,,
Fabrice,fonction_phatique,,non,,,
"Bonjour, Fabrice.",fonction_phatique,,non,,,
"En fait, je crois que le problème, chez moi, est très simple.",partage_experience,symptome,non,,,
"Comme je l'ai écrit précédemment, je suis incapable de dormir sur le dos.",partage_experience,symptome,non,,,
Ce n'est pas une position naturelle pour moi.,partage_experience,symptome,non,,,
Je m'endors sur le côté.,partage_experience,symptome,non,,,
"Alors, parfois, autant je me réveille avec le masque autant d'autres fois, je me réveille sans.",partage_experience,symptome,non,,,
"Parce que, tout bêtement, j'ai trop bougé ce qui a eu pour effet de détacher mon masque (qui couvre mon nez et ma bouche).",partage_experience,symptome,non,,,
"En revanche, je ne savais pas que le taux de CO2 pouvait augmenter du fait d'une insuffisance respiratoire.",partage_experience,symptome,non,,,
Comment vous a-t-on diagnostiqué cela ?,recherche_information,diagnostique,non,,,
Tout simplement avec un test de sommeil ?Ça a été mon cas aussi.,recherche_information,diagnostique,non,,,
"Le gars qui s'occupe de mon matériel a spontanément remarqué que j'avais un tout petit ""museau"" pour un grand masque.",partage_experience,diagnostique,non,,,
;),fonction_phatique,,oui,positif,,
Je m'étonne d'ailleurs que ce soit toi qui aies dû t'en apercevoir...,partage_experience,diagnostique,oui,negatif,,
Bonjour Jenny Parker :),fonction_phatique,,oui,positif,,
Depuis que je suis petit je fais des apnées du sommeil.,partage_experience,symptome,non,,,
"Je ronflais beaucoup étant enfant, et on m'a fait consulter un médecin pour le sommeil.",partage_experience,symptome,non,,,
"Ils se sont rendus compte lors d'une polysomnographie et autres examens (je ne me rappelle pas des autres types désolé) que j'avais des apnées du sommeil moyennes (au dessus de la moyenne sans que ça soit sévère) et j'ai été appareillé vers mes 14-15 ans mais je retirais sans arrêt le masque, et je n'ai pas réussi à garder la machine.",partage_experience,diagnostique,non,,,
"Par contre, je ne sais par quel moyen mes ronflements s'étaient interrompus (je ronfle très peu par rapport à avant).",partage_experience,symptome,non,,,
"Vers 20 ans je commençais à avoir les symptômes des apnées (fatigue, maux de tête la matin), et on a réessayé de m'appareiller, sans succès encore.",partage_experience,symptome,non,,,
"C'est à ce moment là aussi qu'ils se sont rendus compte que mon CO2 augmentait la nuit, alors ils ont fait une batterie d'examens mais ils ne savent pas à quoi vraiment c'est dû.",partage_experience,diagnostique,non,,,
"Ils pensent peut-être que c'est dû à mes soucis de santé que j'ai eu à la naissance (je suis né par le siège, j'ai eu une hypoxie du cerveau à la naissance, et je prends un traitement hormonal substitutif pour vivre normalement).",partage_experience,traitement,non,,,
Je vous comprends pour la position sur le dos.,partage_experience,symptome,non,,,
J'arrive à m'endormir dans cette position mais je finis toujours par me remettre sur le côté après.,partage_experience,symptome,non,,,
"Par contre depuis que j'ai acheté un oreiller qui sert à améliorer le confort pour les VNI comme nous, je bouge beaucoup moins la nuit.",partage_experience,traitement,non,,,
"Je vous envoie le site avec l'oreiller en question par message privé, si ça vous intéresse.",partage_experience,traitement,non,,,
"Au moins maintenant j'arrive à mieux supporter la machine, car je pense que comme vous quand je bougeais ça occasionnait des fuites.",partage_experience,traitement,non,,,
"Bon courage à vous,",fonction_phatique,,oui,positif,,
Fabrice,fonction_phatique,,non,,,
"Merci Fabrice, pour vos encouragements.",fonction_phatique,,oui,positif,,
"Je me rends compte que pour vous, ça a été le véritable parcours du combattant pour vous aider à vivre à peu près normalement !",partage_experience,traitement,non,,,
C'est fou...,fonction_phatique,,non,,,
Tous ces tests que vous avez passés !,partage_experience,traitement,non,,,
"Être appareillé à 14 ans, c'est dur quand même.",partage_experience,traitement,oui,positif,,
Je comprends à quel point il a été difficile pour vous de garder le masque.,partage_experience,traitement,oui,positif,,
"D'ailleurs, pour ma part, je me fais du souci car je vois mon pneumologue dans quelques mois et il va avoir l'historique de mon port du masque.",partage_experience,traitement,oui,negatif,,
J'appréhende assez le fait qu'il me fasse quelques remontrances...,partage_experience,traitement,oui,negatif,,
"bonjour à toutes/s, voila je me présente dans les grandes lignes..",fonction_phatique,,non,,,
"je suis un homme ordinaire de 30 ans, je suis heureux, pas dépressif, je prend aucun traitement, mais je vous explique mon souci...",partage_experience,symptome,oui,positif,,
"Quand je suis concentré, quand je lis un livre, ou quand je suis devant mon pc, il m'arrive de rentrer en apnée, sans m'en rendre compte ..., c'est à un moment donné que je ressens un léger "" flottement "" que je me rend compte que je ne respire plus ..",partage_experience,symptome,non,,,
"alors je prend une grande aspiration et là au bout de quelques secondes, tout redevient ( enfin "" je "" ) redeviens normal ...",partage_experience,symptome,non,,,
ça m'arrive tout le temps ...,partage_experience,symptome,non,,,
"il suffit qu'une personne me fasse une présentation d'un véhicule ou , je peux être chez mon conseiller financier, ( expériences vécues ) je suis tellement concentré qu'en fait, quand je me rend compte que je ne respire plus, je me rend aussi compte que je suis dans une sorte de "" trance "", remarque normal, sachant que quand j'analyse la situation, je m'aperçois que quelques fois je m'arrête de respirer pendant 1 mi et quelques ...",partage_experience,symptome,non,,,
ce n'est pas forcément énorme ...,partage_experience,symptome,non,,,
"mais quand ça arrive comme ça, sans s'en rendre compte ..",partage_experience,symptome,non,,,
croyez moi c'est ennuyeux ...,partage_experience,symptome,oui,negatif,,
"voila, si quelqu'un se reconnait ou sait quelque chose à ce sujet, je suis preneur et je vous en remercie d'avance",recherche_information,symptome,non,,,
"pour info, et avant que cela soit proposer ;-) j'ai vu 3 médecins généralistes différents, ils m'ont tous renvoyer avec...",partage_experience,traitement,non,,,
euh ...,fonction_phatique,,non,,,
rien ...,partage_experience,diagnostique,non,,,
:-(,fonction_phatique,,oui,negatif,,
Wow j'avais jamais entendu parlé de truc comme ça.,partage_experience,symptome,non,,,
Ben là comme ça je pense que tu devrais aller voir un neurologue.,partage_experience,traitement,non,,,
"Je dirais que c un pbm de conscience du corps et de transmission de l'information mais je sais absolument pas ce que ça pourrai etre exactement, les solutions...",partage_experience,diagnostique,non,,,
Dsl...,fonction_phatique,,oui,negatif,,
"je rejoind l'avis d'aller consulter un neurologue, ça me fait un peu penser à une forme ""light"" de la narco",partage_experience,diagnostique,non,,,
"tout cela ne me rassure guère ^^, je vais aller voir un neuro ..par contre pour ce qui est de la narcoleptie, je ne pense pas, car je suis complètement réveillé, je suis juste ""trop"" concentré , en aucun cas je dors ou autre , et je me souviens à chaque fois de ce qui se passe ,merci pour vos réponses si rapides",partage_experience,symptome,oui,negatif,,
ce qui devait arriver ...,partage_experience,symptome,oui,negatif,,
arriva ....,partage_experience,symptome,oui,negatif,,
"perte de connaissance hier après-midi, en pleine vendanges ...",partage_experience,symptome,non,,,
je suis coupeur pour ceux qui connaissent ...,partage_experience,symptome,non,,,
"et dans le rangs, je me suis évanoui car manqur d'oxigène ..",partage_experience,symptome,non,,,
car encore une fois trop concentré ...,partage_experience,symptome,non,,,
"( les collègues m'appellent ""flash"" ;) car va très vite ..",partage_experience,symptome,non,,,
sans prétentions ..,partage_experience,symptome,non,,,
"mais il est vrai que je ""trace"" d'ailleurs en passant, je vous informe que j'ai souvent des palpitations au niveau du coeur ...",partage_experience,symptome,non,,,
peut-être est-ce lié ?,recherche_information,symptome,non,,STOP,
Et bien la desaturation du sang en o2 et par la suite une réoxygénation brutale de façon répétée causent au bout d'un moment un stress cellulaire qui peut endommager lesdites cellules et donc les tissus.,partage_experience,diagnostique,non,,,
"Et le plus souvent, je prends l 'exemple de pbm d apnees du sommeil graves et non traitées, on trouve aussi chez les patients des pbm cardiovasculaires, notemment de tension...",partage_experience,diagnostique,non,,,
"Allez voir un neurologue, c'est sûr, et puis si j etais vous je ferais un ptit bilan cardiovasculaire, des pbm de tensions, ça peut etre la cause d'evanouissements....",partage_experience,diagnostique,non,,,
"Surtout qu'à cause de votre metier, vous vous levez, vous penchez rapidement de façon repétée...une belle hypotension m etonnerait pas...",partage_experience,diagnostique,non,,,
"Moi aussi j'ai la même chose, comment dire, je me sent partir je tourne de l'oeil réellement et boom je reprend quelques bonnes inspirations.",partage_experience,symptome,non,,,
"L'ennui c'est que c'est de l'apnée du sommeil quand même, il y en a 3 sortes renseigne toi c'est assez simple et claire.",partage_experience,diagnostique,non,,,
"L'ennuis c'est que si c'est une apnée mixte sa peut être cardiaque, neuro, ou musculaire.",partage_experience,diagnostique,non,,,
Donc il faut consulter un peut sur tout les tableaux....,partage_experience,diagnostique,non,,,
"Aussi surtout ne pa prendre les apnée a la légère deja elle commence a nous pourrir physiquement, et ensuite mentalement....",partage_experience,diagnostique,oui,negatif,,
"Grosse dépression et se qui s'en suit, le preuve je le vie.",partage_experience,symptome,oui,negatif,,
